apartment_id,date,price
2,2025-06-12,167
6,2025-08-18,66
3,2025-08-06,88
2,2025-06-06,297
3,2025-07-26,104
1,2025-09-25,265
1,2025-07-22,245
1,2025-07-30,233
3,2025-10-11,134
4,2025-06-23,252
3,2025-10-09,139
6,2025-07-26,118
3,2025-10-02,154
4,2025-09-16,112
5,2025-05-31,240
3,2025-09-21,127
2,2025-07-19,125
2,2025-06-22,115
1,2025-08-04,65
4,2025-07-23,281
2,2025-06-05,135
5,2025-09-04,105
2,2025-08-23,174
1,2025-06-02,262
1,2025-10-26,57
3,2025-10-16,253
2,2025-06-01,132
6,2025-09-12,64
5,2025-09-01,65
3,2025-09-22,80
2,2025-07-30,138
1,2025-09-20,59
2,2025-08-21,250
5,2025-07-28,72
3,2025-09-28,74
4,2025-07-10,142
2,2025-09-02,175
3,2025-09-18,271
3,2025-09-05,237
6,2025-06-02,197
4,2025-07-12,198
5,2025-09-03,289
1,2025-07-11,163
5,2025-06-28,74
6,2025-07-16,174
3,2025-09-24,75
6,2025-07-21,276
5,2025-08-13,288
1,2025-07-03,150
4,2025-08-17,170
6,2025-10-13,199
6,2025-10-10,140
3,2025-08-10,266
3,2025-07-20,192
6,2025-10-27,189
4,2025-08-15,300
4,2025-07-04,258
3,2025-07-16,252
3,2025-06-14,166
3,2025-07-08,112
1,2025-07-18,179
1,2025-09-29,86
4,2025-06-17,50
2,2025-09-27,181
4,2025-09-23,258
3,2025-09-13,191
1,2025-07-07,150
4,2025-08-30,190
3,2025-07-08,296
3,2025-10-22,87
6,2025-06-21,235
4,2025-07-22,199
4,2025-08-05,196
5,2025-06-28,90
4,2025-07-28,232
6,2025-10-23,125
3,2025-07-15,292
4,2025-06-02,146
2,2025-10-06,162
3,2025-06-16,177
1,2025-05-31,126
3,2025-10-19,153
6,2025-08-17,91
5,2025-10-08,234
4,2025-08-16,267
5,2025-06-01,266
2,2025-08-24,224
1,2025-10-23,221
3,2025-08-27,97
4,2025-06-17,157
2,2025-06-12,256
2,2025-06-20,64
5,2025-09-17,128
6,2025-09-17,159
6,2025-06-30,111
4,2025-07-20,65
2,2025-07-18,113
6,2025-07-07,269
6,2025-07-19,164
5,2025-05-28,185
3,2025-07-19,111
2,2025-08-09,88
3,2025-09-11,122
1,2025-06-27,192
5,2025-06-01,149
1,2025-06-23,298
5,2025-06-22,121
1,2025-09-13,207
6,2025-07-20,298
1,2025-08-15,244
4,2025-06-04,180
6,2025-06-14,146
2,2025-06-10,248
5,2025-08-09,93
1,2025-07-12,97
6,2025-10-10,187
4,2025-08-31,152
6,2025-10-19,191
3,2025-07-17,177
3,2025-09-30,171
6,2025-06-22,174
2,2025-10-01,253
2,2025-10-01,300
1,2025-10-21,234
6,2025-09-11,60
4,2025-07-31,247
2,2025-06-20,290
6,2025-06-11,233
3,2025-06-13,254
3,2025-08-04,128
6,2025-09-03,290
4,2025-07-12,73
6,2025-08-24,198
2,2025-07-30,59
5,2025-09-08,162
1,2025-08-31,135
3,2025-08-02,214
6,2025-09-09,64
5,2025-05-28,97
4,2025-10-18,114
4,2025-09-06,130
4,2025-09-07,78
1,2025-07-07,192
5,2025-07-28,176
2,2025-10-06,195
4,2025-09-30,150
6,2025-07-09,215
4,2025-06-30,60
4,2025-07-28,112
3,2025-09-30,280
5,2025-08-22,187
5,2025-05-28,247
5,2025-06-24,85
5,2025-06-18,159
3,2025-08-10,173
3,2025-10-23,65
5,2025-10-24,154
3,2025-06-09,290
5,2025-06-20,286
3,2025-07-18,172
2,2025-07-13,189
4,2025-09-14,57
4,2025-06-06,62
5,2025-09-14,78
1,2025-10-23,271
4,2025-06-14,226
3,2025-08-12,263
2,2025-07-28,140
6,2025-07-17,193
5,2025-06-10,229
4,2025-07-28,193
2,2025-09-10,67
6,2025-10-18,65
2,2025-09-21,265
1,2025-09-24,180
2,2025-07-07,71
2,2025-10-09,124
6,2025-10-24,208
5,2025-07-22,50
4,2025-09-26,170
6,2025-09-25,142
4,2025-06-20,277
3,2025-05-29,207
6,2025-09-27,264
2,2025-08-11,261
1,2025-10-19,291
3,2025-06-11,166
3,2025-10-26,120
5,2025-08-24,127
5,2025-07-04,50
1,2025-10-16,140
4,2025-10-07,173
4,2025-10-27,213
1,2025-06-16,63
1,2025-06-12,143
4,2025-08-09,55
4,2025-08-18,121
2,2025-10-10,84
3,2025-09-27,281
6,2025-10-24,219
3,2025-06-07,275
4,2025-07-09,135
1,2025-07-21,50
3,2025-10-20,241
6,2025-07-18,97
4,2025-08-24,63
5,2025-07-15,193
3,2025-07-27,244
4,2025-08-30,168
5,2025-06-02,154
1,2025-05-30,300
3,2025-10-01,263
2,2025-08-15,103
1,2025-05-31,181
1,2025-07-14,276
5,2025-09-18,123
6,2025-06-22,214
5,2025-10-18,82
3,2025-06-20,54
6,2025-09-11,178
1,2025-07-31,230
2,2025-10-24,73
4,2025-10-18,67
5,2025-07-10,108
6,2025-07-20,115
3,2025-10-25,198
6,2025-08-07,98
2,2025-09-27,157
5,2025-07-17,225
3,2025-10-19,131
5,2025-10-05,188
1,2025-07-10,118
5,2025-09-05,156
6,2025-07-27,134
3,2025-09-07,54
4,2025-07-10,66
6,2025-07-12,150
3,2025-10-12,193
2,2025-09-26,182
4,2025-10-03,249
5,2025-08-12,257
1,2025-07-14,179
4,2025-06-19,178
2,2025-07-07,232
6,2025-10-07,75
1,2025-07-07,72
5,2025-09-10,72
3,2025-06-18,69
6,2025-08-10,276
6,2025-08-22,216
2,2025-09-02,68
4,2025-10-15,296
4,2025-06-14,85
5,2025-09-21,148
1,2025-08-06,236
2,2025-10-10,123
4,2025-08-04,131
4,2025-10-16,82
3,2025-09-26,107
1,2025-10-10,109
3,2025-10-26,57
5,2025-10-24,62
3,2025-07-16,223
5,2025-08-06,60
6,2025-09-04,200
1,2025-10-06,241
3,2025-10-24,55
2,2025-05-29,235
4,2025-10-20,269
2,2025-09-10,190
4,2025-08-27,148
4,2025-06-24,154
4,2025-09-29,104
6,2025-07-16,114
5,2025-09-17,142
1,2025-10-18,212
6,2025-08-27,115
3,2025-07-15,241
4,2025-08-02,109
2,2025-09-02,99
1,2025-07-19,207
4,2025-08-10,285
3,2025-07-09,229
3,2025-09-10,121
2,2025-10-23,217
2,2025-06-09,232
6,2025-07-29,213
1,2025-07-14,297
2,2025-09-03,185
2,2025-08-02,198
2,2025-10-02,85
2,2025-06-29,77
5,2025-09-18,168
2,2025-09-18,234
5,2025-07-06,93
1,2025-06-05,205
1,2025-07-05,192
1,2025-10-06,167
1,2025-06-08,87
4,2025-06-28,206
1,2025-10-26,214
3,2025-09-21,263
6,2025-10-01,149
2,2025-07-01,300
3,2025-10-17,270
5,2025-10-15,149
5,2025-09-21,102
4,2025-09-12,89
2,2025-07-07,201
3,2025-05-29,152
1,2025-08-14,112
4,2025-10-13,275
4,2025-06-21,147
4,2025-05-30,255
3,2025-09-02,274
5,2025-10-01,278
3,2025-09-05,226
5,2025-06-17,206
4,2025-10-02,175
2,2025-08-22,146
2,2025-06-23,278
6,2025-10-22,277
2,2025-10-22,211
6,2025-09-10,253
4,2025-07-22,250
3,2025-09-08,214
1,2025-09-14,186
5,2025-09-15,80
5,2025-07-24,55
2,2025-06-23,173
2,2025-06-18,231
4,2025-07-20,168
4,2025-06-21,201
1,2025-10-04,262
2,2025-08-30,282
5,2025-06-20,147
6,2025-06-30,285
6,2025-08-04,237
2,2025-08-13,184
4,2025-07-14,238
2,2025-08-07,159
5,2025-10-14,131
5,2025-09-16,169
1,2025-07-20,293
3,2025-07-11,155
3,2025-10-01,133
1,2025-09-15,286
2,2025-10-19,176
4,2025-08-30,256
4,2025-07-30,265
2,2025-08-19,286
4,2025-06-27,184
3,2025-07-24,64
1,2025-08-06,63
4,2025-06-02,225
